ID;Código da Disciplina;Disciplinas;Professor;Turma;Turno;Qtd Alunos;CH Presencial (Hora Aula);CH EaD (Hora Aula);SEG;TER;QUA;QUI;SEX;SAB
104699;RV.ADM01;REDAçãO DE TEXTOS OFICIAIS;WILCIENE NUNES DO VALE;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104696;RV.ADM02;ÉTICA;MILTON BERNARDES FERREIRA;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104694;RV.ADM03;CENáRIOS ECONôMICOS E MERCADOS;HAIHANI SILVA PASSOS;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104700;RV.ADM04;SOCIOLOGIA APLICADA à ADMINISTRAçãO;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM112.1V;Tarde;55;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104697;RV.ADM401;GESTãO EMPRESARIAL;LíDIA NUNES DE ÁVILA CARVALHAES;20181.02ADM112.1V;Tarde;55;4;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104698;RV.EXA808;MATEMáTICA FINANCEIRA;KELEN HELENA DE OLIVEIRA;20181.02ADM112.1V;Tarde;55;4;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104695;RV.HUM824;DIREITO;MáRCIA CRISTINA PUYDINGER DE FAZIO;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99921;RV.ADM402;GESTãO DA QUALIDADE;MILTON BERNARDES FERREIRA,LUCIANA DE SOUSA SANTOS;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99923;RV.ADM403;MARKETING;MILTON BERNARDES FERREIRA;20181.02ADM112.2V;Tarde;50;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99919;RV.ADM408;COOPERATIVISMO E ASSOCIATIVISMO;SAMANTHA REZENDE MENDES;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99924;RV.ADM96;ORGANIZAçãO,SISTEMA E MéTODOS;RAFAEL PAZETO ALVARENGA;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99918;RV.CON816;CONTABILIDADE BáSICA;RAQUEL MARIA PRADO,LUCINEIDO GOMES DE MORAES;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99920;RV.EXA809;ESTATíSTICA BáSICA;IDALCI CRUVINEL DOS REIS;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99928;RV.ADM404;COMéRCIO ELETRôNICO E AUTOMAçãO COMERCIAL;JOSé AURELIO VAZQUEZ RUBIO;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99931;RV.ADM406;PLANEJAMENTO ESTRATéGICO;JERLIANE CRUVINEL MENEZES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99926;RV.ADM810;ADMINISTRAçãO FINANCEIRA;RAQUEL MARIA PRADO,LUCINEIDO GOMES DE MORAES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99929;RV.ADM824;EMPREENDEDORISMO;LUCIENE DE OLIVEIRA GUERRA;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99925;RV.ADM97;ADMINISTRAçãO DE RECURSOS MATERIAIS E PATRIMONIAIS E LOGíSTICA;JERLIANE CRUVINEL MENEZES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99930;RV.SEC306;GESTãO DE PESSOAS;LíDIA NUNES DE ÁVILA CARVALHAES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99927;TADMRV.1;ANáLISE DE CUSTO E FORMAçãO DE PREçOS;FABIO FERREIRA DA SILVA OLIVEIRA;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104692;RV.ADM01;REDAçãO DE TEXTOS OFICIAIS;WILCIENE NUNES DO VALE;20181.02ADM11N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
104689;RV.ADM02;ÉTICA;MILTON BERNARDES FERREIRA;20181.02ADM11N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
104687;RV.ADM03;CENáRIOS ECONôMICOS E MERCADOS;SAMANTHA REZENDE MENDES;20181.02ADM11N.1N;Noite;55;2;0;1-12;1-12;1-12;1-12;1-12;0
104693;RV.ADM04;SOCIOLOGIA APLICADA à ADMINISTRAçãO;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM11N.1N;Noite;55;2;0;1-12;1-12;1-12;1-12;1-12;0
104690;RV.ADM401;GESTãO EMPRESARIAL;JERLIANE CRUVINEL MENEZES;20181.02ADM11N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
104691;RV.EXA808;MATEMáTICA FINANCEIRA;IDALCI CRUVINEL DOS REIS;20181.02ADM11N.1N;Noite;55;4;0;1-12;1-12;1-12;1-12;1-12;0
104688;RV.HUM824;DIREITO;MáRCIA CRISTINA PUYDINGER DE FAZIO;20181.02ADM11N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
99908;RV.ADM402;GESTãO DA QUALIDADE;SAMANTHA REZENDE MENDES,LUCIANA DE SOUSA SANTOS;20181.02ADM11N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99909;RV.ADM403;MARKETING;MILTON BERNARDES FERREIRA;20181.02ADM11N.2N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
99906;RV.ADM408;COOPERATIVISMO E ASSOCIATIVISMO;SAMANTHA REZENDE MENDES;20181.02ADM11N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99910;RV.ADM96;ORGANIZAçãO,SISTEMA E MéTODOS;RAFAEL PAZETO ALVARENGA;20181.02ADM11N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99905;RV.CON816;CONTABILIDADE BáSICA;RAQUEL MARIA PRADO,LUCINEIDO GOMES DE MORAES;20181.02ADM11N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99907;RV.EXA809;ESTATíSTICA BáSICA;RENATO CRUVINEL DE OLIVEIRA;20181.02ADM11N.2N;Noite;56;2;0;1-12;1-12;1-12;1-12;1-12;0
99914;RV.ADM404;COMéRCIO ELETRôNICO E AUTOMAçãO COMERCIAL;JOSé AURELIO VAZQUEZ RUBIO;20181.02ADM11N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99917;RV.ADM406;PLANEJAMENTO ESTRATéGICO;JERLIANE CRUVINEL MENEZES;20181.02ADM11N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99912;RV.ADM810;ADMINISTRAçãO FINANCEIRA;SILVIA FERREIRA MARQUES SALUSTIANO,LUCIANA DE SOUSA SANTOS;20181.02ADM11N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99915;RV.ADM824;EMPREENDEDORISMO;LUCIENE DE OLIVEIRA GUERRA;20181.02ADM11N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99911;RV.ADM97;ADMINISTRAçãO DE RECURSOS MATERIAIS E PATRIMONIAIS E LOGíSTICA;JOSé AURELIO VAZQUEZ RUBIO;20181.02ADM11N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99916;RV.SEC306;GESTãO DE PESSOAS;JERLIANE CRUVINEL MENEZES;20181.02ADM11N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99913;TADMRV.1;ANáLISE DE CUSTO E FORMAçãO DE PREçOS;RAFAEL PAZETO ALVARENGA;20181.02ADM11N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
104954;RV.INF811;INFORMáTICA BáSICA;RAFAEL PAZETO ALVARENGA;20181.02ADM12N.1N;Noite;55;4;0;1-12;1-12;1-12;1-12;1-12;0
104950;RV.PRO001;ARTES;THOMAZ JOEZER HERLER;20181.02ADM12N.1N;Noite;55;1;0;1-12;1-12;1-12;1-12;1-12;0
104955;RV.PRO002;MATEMáTICA I;KELEN HELENA DE OLIVEIRA;20181.02ADM12N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
104952;RV.PRO003;GEOGRAFIA I;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM12N.1N;Noite;55;2;0;1-12;1-12;1-12;1-12;1-12;0
104953;RV.PRO004;HISTóRIA I;THOMAZ JOEZER HERLER;20181.02ADM12N.1N;Noite;55;2;0;1-12;1-12;1-12;1-12;1-12;0
104951;RV.PRO005;BIOLOGIA I;GUSTAVO ANTôNIO TEIXEIRA CHAVES;20181.02ADM12N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
104956;RV.PRO008;COMUNICAçãO ORAL EM PúBLICO;WILCIENE NUNES DO VALE;20181.02ADM12N.1N;Noite;55;2;0;1-12;1-12;1-12;1-12;1-12;0
100057;RV.PRO11;MATEMáTICA II;KELEN HELENA DE OLIVEIRA;20181.02ADM12N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100058;RV.PRO20;PORTUGUêS II;WILCIENE NUNES DO VALE;20181.02ADM12N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100055;RV.PRO31;GEOGRAFIA II;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM12N.2N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100056;RV.PRO41;HISTóRIA II;THOMAZ JOEZER HERLER;20181.02ADM12N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100052;RV.PRO51;BIOLOGIA II;GUSTAVO ANTôNIO TEIXEIRA CHAVES;20181.02ADM12N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100054;RV.PRO60;FíSICA I;GUSTAVO QUEREZA DE FREITAS;20181.02ADM12N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100053;RV.PRO91;FILOSOFIA;THOMAZ JOEZER HERLER;20181.02ADM12N.2N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100062;RV.ADM401;GESTãO EMPRESARIAL;JERLIANE CRUVINEL MENEZES;20181.02ADM12N.3N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100064;RV.PRO12;MATEMáTICA III;KELEN HELENA DE OLIVEIRA;20181.02ADM12N.3N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100065;RV.PRO21;PORTUGUêS III;SANDRA MARA SANTOS LEMOS;20181.02ADM12N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100061;RV.PRO32;GEOGRAFIA III;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM12N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100063;RV.PRO42;HISTóRIA III;THOMAZ JOEZER HERLER;20181.02ADM12N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100059;RV.PRO52;BIOLOGIA III;GUSTAVO ANTôNIO TEIXEIRA CHAVES;20181.02ADM12N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100060;RV.PRO61;FíSICA II;SALMON LANDI JUNIOR;20181.02ADM12N.3N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100067;RV.ECO820;CENáRIOS ECONôMICOS E MERCADOS;SAMANTHA REZENDE MENDES;20181.02ADM12N.4N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100071;RV.PRO13;MATEMáTICA IV;KELEN HELENA DE OLIVEIRA;20181.02ADM12N.4N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100072;RV.PRO22;PORTUGUêS IV;WILCIENE NUNES DO VALE;20181.02ADM12N.4N;Noite;50;0;0;1-12;1-12;1-12;1-12;1-12;0
100069;RV.PRO33;GEOGRAFIA IV;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM12N.4N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100070;RV.PRO43;HISTóRIA IV;THOMAZ JOEZER HERLER;20181.02ADM12N.4N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100066;RV.PRO53;BIOLOGIA IV;GUSTAVO ANTôNIO TEIXEIRA CHAVES;20181.02ADM12N.4N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100068;RV.PRO62;FíSICA III;SALMON LANDI JUNIOR;20181.02ADM12N.4N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100074;RV.ADM402;GESTãO DA QUALIDADE;MILTON BERNARDES FERREIRA;20181.02ADM12N.5N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100077;RV.ADM406;PLANEJAMENTO ESTRATéGICO;RAFAEL PAZETO ALVARENGA;20181.02ADM12N.5N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100073;RV.ADM408;COOPERATIVISMO E ASSOCIATIVISMO;SAMANTHA REZENDE MENDES;20181.02ADM12N.5N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100076;RV.PRO14;MATEMáTICA V;KELEN HELENA DE OLIVEIRA;20181.02ADM12N.5N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100078;RV.PRO70;QUíMICA I;LUISMAR DE PAULA SOUZA;20181.02ADM12N.5N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100075;RV.PRO80;INGLêS I;LíDIA NUNES DE ÁVILA CARVALHAES;20181.02ADM12N.5N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100079;RV.PRO92;SOCIOLOGIA;THOMAZ JOEZER HERLER;20181.02ADM12N.5N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100085;RV.ADM403;MARKETING;MILTON BERNARDES FERREIRA;20181.02ADM12N.6N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100081;RV.ADM824;EMPREENDEDORISMO;LUCIENE DE OLIVEIRA GUERRA;20181.02ADM12N.6N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100080;RV.CON816;CONTABILIDADE BáSICA;FABIO FERREIRA DA SILVA OLIVEIRA;20181.02ADM12N.6N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100082;RV.EXA809;ESTATíSTICA BáSICA;KELEN HELENA DE OLIVEIRA;20181.02ADM12N.6N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100083;RV.HUM818;ÉTICA E RELAçõES NO TRABALHO;MILTON BERNARDES FERREIRA,LUCIANA DE SOUSA SANTOS;20181.02ADM12N.6N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100086;RV.PRO71;QUíMICA II;LUISMAR DE PAULA SOUZA;20181.02ADM12N.6N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100084;RV.PRO81;INGLêS II;LíDIA NUNES DE ÁVILA CARVALHAES;20181.02ADM12N.6N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100087;RV.ADM405;ADMINISTRAçãO DE RECURSOS MATERIAIS,PATRIMONIAIS E LOGíSTICA;JERLIANE CRUVINEL MENEZES;20181.02ADM12N.7N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
100088;RV.ADM407;ADMINISTRAçãO DE RECURSOS HUMANOS;RAFAEL PAZETO ALVARENGA;20181.02ADM12N.7N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100089;RV.ADM810;ADMINISTRAçãO FINANCEIRA;JOSé AURELIO VAZQUEZ RUBIO,LUCIANA DE SOUSA SANTOS;20181.02ADM12N.7N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100090;RV.CON815;ANáLISE DE CUSTOS E FORMAçãO DE PREçOS;LUCIANA DE SOUSA SANTOS,RAFAEL PAZETO ALVARENGA;20181.02ADM12N.7N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100091;RV.HUM823;DIREITO;MáRCIA CRISTINA PUYDINGER DE FAZIO;20181.02ADM12N.7N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100092;RV.PRO23;PORTUGUêS V;WILCIENE NUNES DO VALE;20181.02ADM12N.7N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
100093;RV.PRO72;QUIMICA III;RODRIGO BRAGHIROLI;20181.02ADM12N.7N;Noite;50;2;0;1-12;1-12;1-12;1-12;1-12;0
99039;RV.AGN197;EMPREENDEDORISMO NO AGRONEGóCIO;CARLOS ANTONIO CARDOSO SOBRINHO;20181.02AGN21N.3N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99040;RV.AGN216;GESTãO DA QUALIDADE NO AGRONEGóCIO;CARLOS ANTONIO CARDOSO SOBRINHO,LUCIANA DE SOUSA SANTOS;20181.02AGN21N.3N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99042;RV.AGN222;RECURSOS HUMANOS NO AGRONEGóCIO;LUIZA FERREIRA REZENDE DE MEDEIROS;20181.02AGN21N.3N;Noite;50;3;0;1-12;1-12;1-12;1-12;1-12;0
99043;RV.AGN230;SISTEMAS ECONôMICOS E VALORAçãO AMBIENTAL;SILVIA FERREIRA MARQUES SALUSTIANO;20181.02AGN21N.3N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99041;RV.AGN232;POLíTICAS AGRíCOLAS E COMERCIALIZAçãO;SILVIA FERREIRA MARQUES SALUSTIANO;20181.02AGN21N.3N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99044;RV.AGN208;ANáLISE DE CUSTOS E FORMAçãO DE PREçOS NO AGRONEGóCIO;RúBIA CRISTINA ARANTES MARQUES;20181.02AGN21N.5N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99045;RV.AGN218;COMéRCIO EXTERIOR;HAIHANI SILVA PASSOS;20181.02AGN21N.5N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99047;RV.AGN225;TóPICOS ESPECIAIS EM PRODUçãO VEGETAL;PABLO DIEGO SILVA CABRAL;20181.02AGN21N.5N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99046;RV.AGN231;SISTEMAS DE INFORMAçõES GERENCIAIS NO AGRONEGóCIO;JOSé AURELIO VAZQUEZ RUBIO;20181.02AGN21N.5N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99048;RV.TCC212;TRABALHO DE CURSO I;CARLOS ANTONIO CARDOSO SOBRINHO;20181.02AGN21N.5N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99080;RV.AGN220;GLOBALIZAçãO,NOVAS TECNOLOGIAS E INSERçãO INTERNACIONAL DO BRASIL;EMIVAL DA CUNHA RIBEIRO;20181.02AGN21N.7N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
99064;RV.AGN221;DESENVOLVIMENTO REGIONAL;EMIVAL DA CUNHA RIBEIRO;20181.02AGN21N.7N;Noite;56;3;0;1-12;1-12;1-12;1-12;1-12;0
99059;RV.AGN229;COOPERATIVISMO E ASSOCIATIVISMO;SAMANTHA REZENDE MENDES;20181.02AGN21N.7N;Noite;50;4;0;1-12;1-12;1-12;1-12;1-12;0
99094;RV.GAM218;PLANEJAMENTO TERRITORIAL URBANO E RURAL;JESIEL SOUZA SILVA;20181.02AGN21N.7N;Noite;55;5;0;1-12;1-12;1-12;1-12;1-12;0
104703;RV.EXA224;MATEMáTICA APLICADA;RENATO CRUVINEL DE OLIVEIRA;20181.02AGP11M.1M;Manhã;55;4;0;7-16;7-16;7-16;7-16;7-16;1-16
104702;RV.TAG003;AGRICULTURA GERAL;ADRIANO PERIN;20181.02AGP11M.1M;Manhã;55;6;0;7-16;7-16;7-16;7-16;7-16;1-16
104705;RV.TAG004;ZOOTECNIA GERAL;JéSSIKA MARA MARTINS RIBEIRO;20181.02AGP11M.1M;Manhã;55;5;0;7-16;7-16;7-16;7-16;7-16;1-16
104701;RV.TAG005;ADMINISTRAçãO RURAL;CARLOS ANTONIO CARDOSO SOBRINHO;20181.02AGP11M.1M;Manhã;55;4;0;7-16;7-16;7-16;7-16;7-16;1-16
104704;RV.TAG503;MECANIZAçãO AGRíCOLA;JOãO CLEBER MODERNEL DA SILVEIRA;20181.02AGP11M.1M;Manhã;55;5;0;7-16;7-16;7-16;7-16;7-16;1-16
99934;RAGROP-RV.1;IRRIGAçãO E DRENAGEM;LEONARDO NAZARIO SILVA DOS SANTOS;20181.02AGP11M.2M;Manhã;50;4;0;7-16;7-16;7-16;7-16;7-16;1-16
99933;RAGROP-RV.6;DESENHO TéCNICO CONSTRUçõES E INSTALAçõES RURAIS;BRUNO BOTELHO SALEH;20181.02AGP11M.2M;Manhã;50;4;0;7-16;7-16;7-16;7-16;7-16;1-16
99932;RV.TAG504;AVICULTURA;FABIANA RAMOS DOS SANTOS;20181.02AGP11M.2M;Manhã;50;5;0;7-16;7-16;7-16;7-16;7-16;1-16
99935;RV.TAG505;OLERICULTURA;JOSé WESELLI DE Sá ANDRADE;20181.02AGP11M.2M;Manhã;50;5;0;7-16;7-16;7-16;7-16;7-16;1-16
99936;RV.TAG509;OVINO E CAPRINO;ELIS APARECIDO BENTO;20181.02AGP11M.2M;Manhã;50;2;0;7-16;7-16;7-16;7-16;7-16;1-16
99940;RAGROP-RV.3;PROTEÇÃO DE PLANTAS;RAFAEL MARQUES PEREIRA LEAL;20181.02AGP11M.3M;Manhã;50;2;0;7-16;7-16;7-16;7-16;7-16;1-16
99937;RV.TAG001;ARMAZENAMENTO DE GRãOS;OSVALDO RESENDE;20181.02AGP11M.3M;Manhã;50;4;0;7-16;7-16;7-16;7-16;7-16;1-16
99938;RV.TAG002;CULTURAS ANUAIS I;EDNALVA PATRíCIA DE ANDRADE SILVA;20181.02AGP11M.3M;Manhã;50;4;0;7-16;7-16;7-16;7-16;7-16;1-16
99942;RV.TAG506;TOPOGRAFIA;DAVID VIEIRA LIMA;20181.02AGP11M.3M;Manhã;50;4;0;7-16;7-16;7-16;7-16;7-16;1-16
99941;RV.TAG510;SUINOCULTURA;TIAGO PEREIRA GUIMARãES;20181.02AGP11M.3M;Manhã;50;5;0;7-16;7-16;7-16;7-16;7-16;1-16
99939;RV.TAG513;FORRAGICULTURA;TIAGO PEREIRA GUIMARãES;20181.02AGP11M.3M;Manhã;50;2;0;7-16;7-16;7-16;7-16;7-16;1-16
99943;RAGROP-RV.4;AGROINDUSTRIA;MARCO ANTôNIO PEREIRA DA SILVA;20181.02AGP11M.4M;Manhã;50;4;0;7-16;7-16;7-16;7-16;7-16;1-16
99945;RV.TAG517;CULTURAS ANUAIS II;EDNALVA PATRíCIA DE ANDRADE SILVA;20181.02AGP11M.4M;Manhã;50;4;0;7-16;7-16;7-16;7-16;7-16;1-16
99946;RV.TAG518;FRUTICULTURA;FERNANDO HIGINO DE LIMA E SILVA;20181.02AGP11M.4M;Manhã;50;5;0;7-16;7-16;7-16;7-16;7-16;1-16
99944;RV.TAG519;BOVINOCULTURA;TIAGO PEREIRA GUIMARãES;20181.02AGP11M.4M;Manhã;50;5;0;7-16;7-16;7-16;7-16;7-16;1-16
